"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 08 11:36:42 MSK 2026","Tue Sep 08 11:36:51 MSK 2026","8812","","Тесты личного кабинета","","tests.ProfileTest","testGoToProfile","Переход в личный кабинет","Проверка перехода по клику на 'Личный кабинет'"
"passed","Tue Sep 08 11:36:32 MSK 2026","Tue Sep 08 11:36:36 MSK 2026","4293","","Тесты входа в аккаунт","","tests.LoginTest","testLoginViaRegisterForm","Вход через форму регистрации","Проверка входа по ссылке в форме регистрации"
"passed","Tue Sep 08 11:35:56 MSK 2026","Tue Sep 08 11:36:06 MSK 2026","10734","","Тесты конструктора","","tests.ConstructorTest","testGoToFillings","Переход к разделу 'Начинки'","Проверка работы перехода к разделу начинок"
"passed","Tue Sep 08 11:37:20 MSK 2026","Tue Sep 08 11:37:26 MSK 2026","5302","","Тесты регистрации","","tests.RegistrationTest","testPasswordValidation","Проверка разных вариантов пароля [2] 12345, false","Проверка что пароль из 6 символов проходит, а из 5 - нет"
"passed","Tue Sep 08 11:36:12 MSK 2026","Tue Sep 08 11:36:24 MSK 2026","11958","","Тесты входа в аккаунт","","tests.LoginTest","testLoginViaForgotPasswordForm","Вход через форму восстановления пароля","Проверка входа по ссылке на странице восстановления"
"passed","Tue Sep 08 11:36:27 MSK 2026","Tue Sep 08 11:36:32 MSK 2026","4784","","Тесты входа в аккаунт","","tests.LoginTest","testLoginViaMainPage","Вход через кнопку 'Войти в аккаунт' на главной","Проверка входа через главную страницу"
"passed","Tue Sep 08 11:35:39 MSK 2026","Tue Sep 08 11:35:52 MSK 2026","13584","","Тесты конструктора","","tests.ConstructorTest","testSwitchBetweenAllTabs","Переключение между всеми табами","Проверка последовательного переключения между всеми разделами"
"passed","Tue Sep 08 11:36:24 MSK 2026","Tue Sep 08 11:36:27 MSK 2026","3578","","Тесты входа в аккаунт","","tests.LoginTest","testLoginViaPersonalAccount","Вход через 'Личный кабинет'","Проверка входа через кнопку в хедере"
"passed","Tue Sep 08 11:37:01 MSK 2026","Tue Sep 08 11:37:06 MSK 2026","5284","","Тесты регистрации","","tests.RegistrationTest","testSuccessfulRegistration","Успешная регистрация с валидными данными","Проверка регистрации с валидными данными"
"passed","Tue Sep 08 11:36:06 MSK 2026","Tue Sep 08 11:36:12 MSK 2026","5307","","Тесты конструктора","","tests.ConstructorTest","testGoToBuns","Переход к разделу 'Булки'","Проверка работы перехода к разделу булок"
"passed","Tue Sep 08 11:35:53 MSK 2026","Tue Sep 08 11:35:56 MSK 2026","2927","","Тесты конструктора","","tests.ConstructorTest","testGoToSauces","Переход к разделу 'Соусы'","Проверка работы перехода к разделу соусов"
"passed","Tue Sep 08 11:37:14 MSK 2026","Tue Sep 08 11:37:20 MSK 2026","6351","","Тесты регистрации","","tests.RegistrationTest","testPasswordValidation","Проверка разных вариантов пароля [1] 123456, true","Проверка что пароль из 6 символов проходит, а из 5 - нет"
"passed","Tue Sep 08 11:36:51 MSK 2026","Tue Sep 08 11:36:57 MSK 2026","6040","","Тесты личного кабинета","","tests.ProfileTest","testGoToConstructorViaLogo","Переход из профиля в конструктор через логотип","Проверка перехода по клику на логотип"
"passed","Tue Sep 08 11:36:36 MSK 2026","Tue Sep 08 11:36:42 MSK 2026","5232","","Тесты выхода из аккаунта","","tests.LogoutTest","testLogout","Выход из аккаунта через кнопку 'Выйти'","Проверка выхода по кнопке 'Выйти' в личном кабинете"
"passed","Tue Sep 08 11:36:57 MSK 2026","Tue Sep 08 11:37:01 MSK 2026","4233","","Тесты личного кабинета","","tests.ProfileTest","testGoToConstructorViaButton","Переход из профиля в конструктор через кнопку 'Конструктор'","Проверка перехода по клику на 'Конструктор'"
"passed","Tue Sep 08 11:37:06 MSK 2026","Tue Sep 08 11:37:14 MSK 2026","7567","","Тесты регистрации","","tests.RegistrationTest","testShortPasswordError","Ошибка при коротком пароле (< 6 символов)","Пароль меньше 6 символов должен вызывать ошибку"
